Feature,Frequency_Coef,Severity_Coef
cloud_provider_primary_Azure,0.0030924887923984967,-0.34856825112803264
cloud_provider_primary_GCP,0.025430127765236014,0.14465317012959483
cloud_provider_primary_Hybrid,0.019317377028444827,0.12439635595463971
cloud_provider_primary_On-Prem,0.01967464927534545,-0.04319378006432855
control_gap_score,0.09456048148033384,-0.09343548253780944
core_banking_vendor_missing,0.014040663199018494,0.2533244847813051
coverage_structure_score,-0.048059442170592465,0.4370678140065229
critical_operations_score,0.008089145776463384,-0.015900941657202378
cyber_control_score,-0.09456048148033405,0.09343548253780941
exposure_size_score,0.004952599268330819,0.06910018585815643
exposure_years,-0.00011267170276992971,0.0
high_sev_rate,0.008813880439466595,0.10389332350930172
hybrid_cloud_flag,0.019317377028444827,0.12439635595463971
intercept,0.00011267170276992971,-0.00015675389636897016
limit_to_revenue,0.04955630907935356,-0.06711882471815225
log_revenue,0.002056466929387651,0.07761298849019528
payment_trading_flag,0.0,0.0
primary_regulator_FDIC,0.023831649628693354,0.09446270387133902
primary_regulator_FINRA,0.0003282663911734058,-0.09123709282469344
primary_regulator_FRB,0.010831491347776095,-0.12267243066232981
primary_regulator_NCUA,0.039054393505537265,-0.06924749545110227
primary_regulator_OCC,0.0525885472972167,0.11666764300497721
primary_regulator_SEC,-0.08045337159001181,-0.12692147432983747
primary_regulator_State,0.06262075923104285,-0.1967452730784847
prior_incident_score,0.04170093494070278,-0.1624826019616706
region_National,0.04240630700964152,0.01787672342929927
region_Northeast,-0.019057661274653956,-0.21093259713213558
region_Southeast,-0.05237218955281455,0.10213001705849728
region_Southwest,-0.03992768914410938,-0.09813128789991526
region_West,0.0320288720379048,-0.06527241968993515
regulatory_findings_pressure,0.04250853717428594,-0.05628150896149194
repeat_offender,-0.028347039638507626,0.1630405939196256
retention_ratio,-0.023574373904317686,0.17309304299672582
sub_sector_Broker-Dealer,-0.04718936169688502,0.08234223397691354
sub_sector_Community Bank,0.001053930408367822,-0.11526207074119779
sub_sector_Credit Union,0.0009902286259008003,-0.29161093568716545
sub_sector_Custodian Bank,-0.05222505702727193,-0.19923015008108894
sub_sector_Fintech-Lending,0.058882440083432706,-0.0009001538851891316
sub_sector_Fintech-Payments,0.022095637161254917,-0.010267689202424088
sub_sector_Hedge Fund,0.015233722880070586,-0.27086947739392336
sub_sector_Insurance Carrier,0.007074962139277537,-0.06486933639398013
sub_sector_Investment Bank,-0.007799392348298557,0.021698327887071326
sub_sector_National Bank,-0.041284130156081934,-0.03639009201616002
sub_sector_Regional Bank,0.0336518353780328,0.07246407299065767
vendor_control_pressure,0.03370536437648945,-0.10967319869356901
vendor_pressure_band_High,-0.021738960391708206,-0.13179932596438018
vendor_pressure_band_Low,-0.03971892770843496,-0.06319883304426607
vendor_pressure_band_Moderate,0.0775625940129615,-0.15240916939705093
